BLOCK,LOT,CONDO,LOCATION,res,comm,exempt,ACREAGE,sq_footage,story_design,house_type,garage,SALES DATE,SALE PRICE,PRICE CD,land_price,improv_price,assesed_value,num_structures,year_built,units,roof_type,roof_material,foundation,heat_src,heat_sys,elec,ac_type,ac_area,4_fixbath,3_fixbath,2_fixbath,1_fixbath,HotTub,fireplace,bedrooms,bathrooms,basmt_area,finbasmt_area,firstfloor_area,upper_area,half_area,attic_area,interior_cond,ext_cond,overall_cond,view
74,11,0,229 N 11TH ST,1,0,0,0.11,962,2,5,0,00/00/0000,0,,350000,118500,468500,2,1930,1,2,4,2,2,4,1,90,962,0,1,0,1,0,0,2,1,0,0,804,0,0,396,2,2,2,0
74,12,0,228 N 12TH ST,1,0,0,0.11,1008,1,4,0,10/20/1993,186500,A,350000,125100,475100,1,1978,1,2,4,1,2,3,1,2,1008,0,2,0,1,0,0,3,2,1008,500,1008,0,0,0,2,2,2,0
74,13,0,237 N 11TH ST,1,0,0,0.22,1788,1,3,1,00/00/0000,0,,507500,177200,684700,1,1972,1,2,4,2,2,3,1,2,1788,0,2,1,1,0,1,3,2.5,0,0,1788,0,0,0,2,2,2,0
74,14,0,232 N 12TH ST,1,0,0,0.11,1496,3,5,0,5/7/1992,100,Z,350000,120600,470600,1,1950,1,2,4,2,2,4,1,90,1496,0,1,1,1,0,0,3,1.5,0,0,1040,0,912,0,2,2,2,0
74,16,0,236 N 12TH ST,1,0,0,0.11,1120,4,2,1,11/28/1995,174000,A,350000,120700,470700,1,1955,1,2,4,2,2,3,1,90,1120,0,1,1,1,0,1,3,1.5,0,0,560,560,0,0,2,2,2,0
74,17,0,243 N 11TH ST,1,0,0,0.11,1671,4,2,1,00/00/0000,0,,350000,121000,471000,1,1926,1,2,4,2,2,3,1,90,1671,0,2,0,1,0,0,3,2,0,0,1077,594,0,0,2,2,2,0
74,18,0,240 N 12TH ST,1,0,0,0.11,1056,1,4,0,11/19/1999,289100,A,350000,150200,500200,1,1987,1,2,4,2,1,6,1,2,1056,0,2,0,1,0,0,3,2,1056,500,1056,0,0,0,2,2,2,0
74,19,0,249 N 11TH ST,1,0,0,0.11,1680,4,8,1,00/00/0000,0,,350000,235500,585500,1,1994,1,2,4,1,2,3,1,2,1680,0,2,1,1,0,0,4,2.5,840,480,1104,576,0,0,1,1,1,0
74,20,0,246 N 12TH ST,1,0,0,0.11,1464,4,8,0,2/15/2000,325000,A,350000,194900,544900,1,1985,1,2,4,2,1,6,1,2,1464,0,2,0,1,0,0,3,2,888,500,1032,432,0,0,2,2,2,0
74,21,0,253 N 11TH ST,1,0,0,0.11,1824,4,8,1,10/14/2003,655000,A,350000,283900,633900,1,1993,1,6,4,1,2,3,1,2,1824,0,3,0,1,0,0,4,3,80,0,1248,576,0,0,1,1,1,0
74,22,0,254 N 12TH ST,1,0,0,0.11,1480,3,5,1,00/00/0000,0,,350000,143200,493200,1,1957,1,2,4,2,2,3,1,90,1480,0,1,0,1,0,0,4,1,0,0,1030,0,900,0,2,2,2,0
74,23,0,257 N 11TH ST,1,0,0,0.11,1362,4,2,1,00/00/0000,0,,350000,129900,479900,1,1950,1,2,4,2,1,6,1,90,1362,0,1,1,1,0,1,4,1.5,0,0,978,0,768,0,2,2,2,0
74,24,0,258 N 12TH ST,1,0,0,0.11,1782,4,1,0,5/9/1995,1,Z,350000,145800,495800,1,1960,2,2,4,2,2,90,1,90,1782,0,2,0,2,0,0,6,2,0,0,891,891,0,0,2,2,2,0
